justice,median_year,positive,negative,totalwords,% Pos,% Neg,FriendScr
ginsburg,2000.5,16496,21190,779592,0.021159786,0.027180884,-0.006021098
roberts_j,2006.5,3514,4491,160487,0.021895854,0.027983575,-0.006087721
stewart,1969.5,26814,34358,1220043,0.021977914,0.028161303,-0.006183389
murphy,1944.5,9074,11654,412008,0.022023844,0.028285859,-0.006262014
fortas,1967,4204,5404,189738,0.022156869,0.02848138,-0.006324511
rehnquist,1988.5,51082,65921,2313402,0.022080901,0.028495264,-0.006414363
lamar_j,1913.5,3718,5119,211512,0.017578199,0.024201937,-0.006623738
souter,1999,25249,32794,1132136,0.022302091,0.028966485,-0.006664394
o'connor,1993.5,47515,62646,2078778,0.022857179,0.030135974,-0.007278796
white_b,1977.5,54846,73240,2441244,0.022466415,0.030001098,-0.007534683
scalia,1997,37553,50808,1733593,0.021661947,0.029307917,-0.00764597
jackson_r,1947.5,13952,19267,655795,0.021274941,0.029379608,-0.008104667
breyer,2001,19511,27085,933526,0.020900328,0.029013654,-0.008113325
kennedy,1998,30478,42308,1436684,0.021214129,0.029448369,-0.008234239
thomas,1999.5,21104,29623,1019763,0.020695005,0.029048906,-0.008353902
alito,2007,2527,4590,129802,0.019468113,0.035361551,-0.015893438
