federal,Clarity Score
0,-1.699266
0,-1.534421
0,-1.662084
0,-1.648888
0,-1.46786
0,-1.585861
0,-1.45031
0,-1.504114
0,-1.501776
0,-1.553687
0,-1.541342
0,-1.509863
0,-1.492487
0,-1.466506
0,-1.519413
0,-1.520538
0,-1.486374
0,-1.468812
0,-1.463863
0,-1.450855
0,-1.451186
0,-1.4968
0,-1.461148
0,-1.443195
0,-1.480098
0,-1.168168
0,-1.449237
0,-1.466341
0,-1.464333
0,-1.495773
0,-1.406188
0,-1.287077
0,-1.429776
0,-1.435538
0,-1.339655
0,-1.453481
0,-1.402435
0,-1.420935
0,-1.423104
0,-1.421638
0,-1.419234
0,-1.468929
0,-1.380521
0,-1.372851
0,-1.399397
0,-1.402305
0,-1.435695
0,-1.279765
0,-1.444025
0,-1.369212
0,-1.376699
0,-1.35859
0,-1.3565
0,-1.381452
0,-1.369361
0,-1.377121
0,-1.416006
0,-1.408465
0,-1.376825
0,-1.412327
0,-1.425762
0,-1.355899
0,-1.337278
0,-1.358814
0,-1.357833
0,-1.357807
0,-1.365978
0,-1.387413
0,-1.42227
0,-1.372457
0,-1.361178
0,-1.300077
0,-1.341197
0,-1.377243
0,-1.408397
0,-1.324507
0,-1.272256
0,-1.30047
0,-1.375233
0,-1.346654
0,-1.416063
0,-1.308197
0,-1.232065
0,-1.339451
0,-1.372363
0,-1.315785
0,-1.35267
0,-1.320559
0,-1.316808
0,-1.311341
0,-1.342229
0,-1.228574
0,-1.338494
0,-1.30181
0,-1.36124
0,-1.351243
0,-1.294448
0,-1.358788
0,-1.302931
0,-1.358261
0,-1.32417
0,-1.279756
0,-1.32263
0,-1.324487
0,-1.316803
0,-1.322464
0,-1.302565
0,-1.329849
0,-1.282791
0,-1.265394
0,-1.288274
0,-1.343482
0,-1.30627
0,-1.318087
0,-1.357452
0,-1.287474
0,-1.233696
0,-1.267909
0,-1.325693
0,-1.278663
0,-1.336497
0,-1.334822
0,-1.273873
0,-1.321394
0,-1.321394
0,-1.256246
0,-1.290441
0,-1.308709
0,-1.262695
0,-1.251665
0,-1.274193
0,-1.306152
0,-1.253026
0,-1.276357
0,-1.231901
0,-1.210196
0,-1.262251
0,-1.309753
0,-1.275876
0,-1.309752
0,-1.268495
0,-1.19656
0,-1.242327
0,-1.326958
0,-1.191052
0,-1.267461
0,-1.228023
0,-1.262955
0,-1.292517
0,-1.222461
0,-1.216511
0,-1.31739
0,-1.278989
0,-1.240056
0,-1.256404
0,-1.264146
0,-1.219649
0,-1.152805
0,-1.239641
0,-1.275946
0,-1.20682
0,-1.266201
0,-1.184342
0,-1.216193
0,-1.254737
0,-1.280379
0,-1.252999
0,-1.246264
0,-1.310222
0,-1.250808
0,-1.240782
0,-1.186843
0,-1.189974
0,-1.208648
0,-1.251604
0,-1.273523
0,-1.159618
0,-1.303084
0,-1.20635
0,-1.166154
0,-1.23194
0,-1.188658
0,-1.244563
0,-1.20749
0,-1.272522
0,-1.212718
0,-1.263747
0,-1.198123
0,-1.194718
0,-1.22507
0,-1.147942
0,-1.161027
0,-1.218745
0,-1.207631
0,-1.256242
0,-1.159795
0,-1.175352
0,-1.24754
0,-1.195221
0,-1.22417
0,-1.181674
0,-1.149948
0,-1.150199
0,-1.15749
0,-1.197427
0,-1.157256
0,-1.171645
0,-1.209962
0,-1.163375
0,-1.169651
0,-1.134354
0,-1.161771
0,-1.144318
0,-1.171636
0,-1.145236
0,-1.188315
0,-1.114639
0,-1.199369
0,-1.130018
0,-1.185177
0,-1.135328
0,-1.186781
0,-1.217323
0,-1.257695
0,-1.20778
0,-1.13694
0,-1.208041
0,-1.134494
0,-1.152104
0,-1.103586
0,-1.127622
0,-1.186468
0,-1.158408
0,-1.169691
0,-1.218216
0,-1.159983
0,-1.182172
0,-1.180359
0,-1.197235
0,-1.206116
0,-1.20075
0,-1.126589
0,-1.228137
0,-1.039922
0,-1.217221
0,-1.197031
0,-1.124997
0,-1.064476
0,-1.142346
0,-1.140829
0,-1.13045
0,-1.129674
0,-1.195664
0,-1.087734
0,-1.158677
0,-1.161394
0,-1.106232
0,-1.116396
0,-1.107498
0,-1.208499
0,-1.135746
0,-1.171502
0,-1.067924
0,-1.118791
0,-1.104659
0,-1.13825
0,-1.156993
0,-1.150135
0,-1.167397
0,-1.134807
0,-1.116745
0,-1.092903
0,-1.077336
0,-1.190057
0,-1.085442
0,-1.10927
0,-1.0788
0,-1.155393
0,-1.153733
0,-1.201127
0,-1.110788
0,-1.126816
0,-1.124038
0,-1.066695
0,-1.076814
0,-1.110003
0,-1.078537
0,-1.163153
0,-1.028182
0,-1.131927
0,-1.111052
0,-1.107334
0,-1.156743
0,-1.091997
0,-1.135575
0,-1.07112
0,-1.158977
0,-1.138672
0,-1.120395
0,-1.110401
0,-1.05996
0,-1.094184
0,-1.126405
0,-1.070263
0,-1.094705
0,-1.08658
0,-1.099772
0,-1.158067
0,-1.136515
0,-1.15112
0,-1.106903
0,-1.100491
0,-1.087492
0,-1.082871
0,-1.075315
0,-1.101347
0,-1.059833
0,-1.153414
0,-1.107996
0,-1.121201
0,-1.072112
0,-1.146752
0,-1.091226
0,-1.090614
0,-1.092046
0,-1.09487
0,-1.083832
0,-1.131884
0,-1.134744
0,-1.06968
0,-1.083922
0,-1.106488
0,-1.110026
0,-1.080776
0,-1.083528
0,-1.06564
0,-1.137696
0,-1.096089
0,-1.138758
0,-1.160565
0,-1.13041
0,-1.03805
0,-1.044383
0,-1.050677
0,-1.074683
0,-1.128041
0,-1.125221
0,-1.056887
0,-1.093838
0,-1.068069
0,-1.085083
0,-1.090358
0,-1.080654
0,-1.112658
0,-1.11042
0,-1.073241
0,-1.132489
0,-1.153549
0,-1.055189
