"","Coord1","Coord2","year"
"1955",-0.0311976666481489,-0.0209748123471887,1955
"1956",-0.0288934306778109,-0.0127047786084244,1956
"1957",-0.0434067710475416,-0.0303676075700708,1957
"1958",0.0258904595949548,-0.0350173299720036,1958
"1959",-0.0205070559067844,-0.074301350398376,1959
"1960",-0.00405592272708111,-0.0425670634359365,1960
"1961",-0.000866397350031049,-0.0582280580876788,1961
"1962",-0.00236456313273,-0.0487889743856466,1962
"1963",-0.00207299318996309,-0.0710468776093762,1963
"1964",0.0021219236445879,-0.0447575470304618,1964
"1965",0.00132674166719436,-0.0570185096820968,1965
"1966",0.0045092103195397,-0.0412268448928183,1966
"1967",0.00567305665872283,-0.0316308546248488,1967
"1968",0.0188332581221374,-0.0288353159887216,1968
"1969",0.0137803684465511,-0.0342765024338162,1969
"1970",0.00883940304870493,-0.0309694082759307,1970
"1971",0.0101369485277632,-0.0291121207053849,1971
"1972",0.0135297868698487,-0.0291171532487084,1972
"1973",0.0120327929312359,-0.0221935452071678,1973
"1974",0.0155556739187253,-0.0199474225677781,1974
"1975",0.0115093733490138,-0.0223047510839168,1975
"1976",0.0115309707688112,-0.0155683856607151,1976
"1977",0.0140145201413069,-0.0147154835879769,1977
"1978",0.00189517648943424,-0.00429429870798296,1978
"1979",-0.00479592448783566,0.00211870780916517,1979
"1980",-0.00390115806807591,0.0129361560762414,1980
"1981",-0.00657616167214638,0.0155114141208948,1981
"1982",-0.00945812988820772,0.0141813212125695,1982
"1983",-0.0092601325822903,0.0110686256519609,1983
"1984",-0.00942994744064594,0.0124169491587578,1984
"1985",-0.00700807344415786,0.0122674453062924,1985
"1986",-0.00454849346543168,0.0133849608579642,1986
"1987",-0.0104878780469449,0.0141859734570495,1987
"1988",-0.00634922644980129,0.0179108576580301,1988
"1989",0.000450698619333628,0.0202542566219123,1989
"1990",0.00465393759729697,0.0262306755941659,1990
"1991",-0.000828944552095123,0.0225134923848867,1991
"1992",0.000765778313138121,0.0258022893650127,1992
"1993",-0.000804592706173101,0.0246491355405151,1993
"1994",-0.00260466895654494,0.0201869794802383,1994
"1995",0.000317689963031168,0.0255741511846173,1995
"1996",-0.00189559494920508,0.0220123271416445,1996
"1997",0.00425011158760023,0.0262176540585406,1997
"1998",0.00207409744949792,0.0241755533141961,1998
"1999",-0.00170758507090263,0.0214277155705075,1999
"2000",-0.00114035821212331,0.0237937216988866,2000
"2001",-0.00148218503713104,0.023464729353384,2001
"2002",-0.00138676943923029,0.0243828454223365,2002
"2003",-0.00153336474962997,0.0234481468703944,2003
"2004",0.000499886604183103,0.0247207814406876,2004
"2005",0.000127121521545451,0.0268081870703626,2005
"2006",0.00116450921266225,0.0294187462397983,2006
"2007",0.00152818882794919,0.028408934993996,2007
"2008",0.00319281049907758,0.0302808546126571,2008
"2009",0.00180966738701938,0.029260457834965,2009
"2010",0.00519772568032001,0.032312686016039,2010
"2011",0.00340903024362272,0.0306706583666855,2011
"2012",0.00556382646056496,0.0336447463686122,2012
"2013",0.00252071524676595,0.0313014363902836,2013
"2014",0.00985853018652312,0.0430214218687758,2014
