"","diff","Similarity"
"2",0,0.959784297903153
"3",8,0.950354650066649
"4",1,0.961761783216047
"5",-26,0.437650319432247
"6",-5,0.963384986266833
"7",-17,0.909769676127866
"8",-42,0.306176063103352
"9",-13,0.915460154096348
"10",15,0.841322904189796
"11",-47,0.419319472334522
"12",-2,0.972912175541779
"13",8,0.962088954363474
"14",-12,0.938862120788949
"15",-4,0.967916681398779
"16",-20,0.901782301103792
"17",7,0.958369163340638
"18",-7,0.956011324985535
"19",-8,0.931777635793758
"20",-11,0.931995381169354
"21",-12,0.921360244015244
"22",8,0.960224453252472
"23",12,0.942764373462535
"24",-27,0.632402079712516
"25",10,0.943541133675833
"26",10,0.954946070810307
"27",6,0.95844840996015
"28",9,0.941426973476694
"29",7,0.943890990360864
"30",-7,0.94678078273499
"31",0,0.965159392560741
"32",-5,0.950647039277273
"33",-35,0.663453829790781
"34",9,0.955748486054806
"35",-20,0.912240176752499
"36",-41,0.692313807122262
"37",-41,0.481297712670098
"38",-26,0.786878007600601
"39",9,0.944066503814589
"40",-15,0.90568068995178
"41",13,0.921386832969352
"42",-21,0.822815460796181
"43",12,0.915939695921044
"44",7,0.964375789236604
"45",6,0.964360040775761
"46",-18,0.901902861370123
"47",15,0.835415891360621
"48",-26,0.851967273383583
"49",-22,0.881158132618765
"50",-23,0.872832220421069
"51",4,0.971387829138812
"52",-33,0.588430778358891
"53",5,0.959321435124552
"54",5,0.912677074507463
"55",-36,0.597662161977652
"56",15,0.893385273217834
"57",13,0.915526263420517
"58",-14,0.915809748374994
"59",1,0.962175635895557
"60",-2,0.962952597259332
"61",-11,0.907476007652903
"62",13,0.926079347159631
"63",-42,0.527011555299626
"64",-47,0.544188922281196
"65",8,0.958534058670158
"66",-42,0.542048310054244
"67",-4,0.832270307690623
"68",1,0.955684354306085
"69",-8,0.945185697412424
"70",10,0.955748267484775
"71",3,0.964618887443758
"72",-11,0.912986814307022
"73",-22,0.843272294195748
"74",7,0.944080961089535
"75",-29,0.513521629285987
"76",-17,0.918145324463156
"77",10,0.926695083130315
"78",5,0.952393427187131
"79",-9,0.953266989336759
"80",-45,0.422281920803346
"81",12,0.951450590413761
"82",-44,0.594562876087796
"83",10,0.948609217991915
"84",10,0.955892546069673
"85",-26,0.747144946208136
"86",5,0.952490037083504
"87",-18,0.918342196143226
"88",-35,0.603402047923115
"89",-3,0.971167420970648
"90",7,0.962465065217844
"91",8,0.949202340361009
"92",9,0.949643707750822
"93",-4,0.966860994647067
"94",-17,0.896139764934435
"95",-33,0.732116481110476
"96",-29,0.863169274240661
"97",-24,0.869160038421073
"98",-16,0.916568771065304
"99",-6,0.94464058780215
"100",-26,0.85172835074618
"101",-20,0.862705236244714
"102",-11,0.916308725413085
"103",-15,0.930025512531057
"104",3,0.86062486362841
"105",-34,0.81234720320552
"106",-25,0.836231085722558
"107",-54,0.458698369636023
"108",-16,0.761003648077565
"109",-2,0.93445654262543
"110",1,0.917986916564079
"111",-2,0.951686005382989
"112",-5,0.904852140519934
"113",-23,0.840710046469746
"114",3,0.807371931161352
"115",-5,0.932760515738021
"116",-32,0.828293086441746
"117",-35,0.80435132974132
"118",-39,0.543179515628098
"119",-7,0.896830473085681
"120",-2,0.895060604615022
"121",-57,0.311184858882344
"122",-21,0.884690133696018
"123",-12,0.951450590413761
"124",-2,0.938701456200472
"125",-11,0.92371786414656
"126",-5,0.948035399534629
"127",-34,0.757360302890072
"128",-2,0.963426417905842
"129",-29,0.844554566648686
"130",-17,0.906563048649835
"131",-4,0.945418459619738
"132",-54,0.269021374351218
"133",1,0.92561186017276
"134",-14,0.925876300440102
"136",-48,0.537485741894848
"137",-12,0.90396825214428
"138",-7,0.865090474098006
"139",-5,0.942847754700424
"140",-32,0.83331569167641
"141",1,0.918457199584163
"142",-19,0.892804330382925
"143",-23,0.84675084011635
"144",-47,0.590497364335592
"145",-24,0.850693642267829
"146",-5,0.948573399234568
"147",0,0.941967275471165
"148",-59,0.476088880759921
"149",-2,0.956826843879758
"150",-4,0.94072844593522
"151",-38,0.670266579349408
"152",-19,0.884243646834535
"153",-20,0.88646303950405
"154",-4,0.939821269744474
"155",-12,0.926573243985952
"156",-38,0.381669696250498
"157",-30,0.830310498868436
"158",-30,0.864290666954586
"159",-38,0.770705658563562
